device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 7
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 170: train 9.8090 | val 6,6: 10.6569 | 9,6: 9.1461 | 12,6: 8.0691 | 15,3: 11.5741
epoch 171: train 9.8068 | val 6,6: 10.6627 | 9,6: 9.1760 | 12,6: 8.1035 | 15,3: 11.5455
epoch 172: train 9.8132 | val 6,6: 10.6552 | 9,6: 9.1306 | 12,6: 8.0420 | 15,3: 11.5427
epoch 173: train 9.8117 | val 6,6: 10.6630 | 9,6: 9.1368 | 12,6: 8.0694 | 15,3: 11.4397
epoch 174: train 9.8045 | val 6,6: 10.6789 | 9,6: 9.1943 | 12,6: 8.1289 | 15,3: 11.4014
epoch 175: train 9.7981 | val 6,6: 10.7252 | 9,6: 9.1947 | 12,6: 8.1041 | 15,3: 11.5302
epoch 176: train 9.8050 | val 6,6: 10.6916 | 9,6: 9.1738 | 12,6: 8.0876 | 15,3: 11.6092
epoch 177: train 9.8109 | val 6,6: 10.6697 | 9,6: 9.1529 | 12,6: 8.0831 | 15,3: 11.5111
epoch 178: train 9.8140 | val 6,6: 10.6434 | 9,6: 9.1343 | 12,6: 8.0826 | 15,3: 11.4807
epoch 179: train 9.8223 | val 6,6: 10.6495 | 9,6: 9.1291 | 12,6: 8.0607 | 15,3: 11.9586
epoch 180: train 9.8287 | val 6,6: 10.7381 | 9,6: 9.1804 | 12,6: 8.1331 | 15,3: 11.6336
epoch 181: train 9.8265 | val 6,6: 10.8385 | 9,6: 9.3194 | 12,6: 8.0889 | 15,3: 11.6873
epoch 182: train 9.8234 | val 6,6: 10.7238 | 9,6: 9.1401 | 12,6: 8.0656 | 15,3: 11.5309
epoch 183: train 9.8210 | val 6,6: 10.7827 | 9,6: 9.3081 | 12,6: 8.1308 | 15,3: 11.6137
epoch 184: train 9.8169 | val 6,6: 10.6670 | 9,6: 9.1356 | 12,6: 8.0866 | 15,3: 11.5651
epoch 185: train 9.8112 | val 6,6: 10.6830 | 9,6: 9.1432 | 12,6: 8.0879 | 15,3: 11.6056
epoch 186: train 9.8110 | val 6,6: 10.7678 | 9,6: 9.2118 | 12,6: 8.1306 | 15,3: 11.7178
epoch 187: train 9.8256 | val 6,6: 10.7929 | 9,6: 9.2641 | 12,6: 8.1417 | 15,3: 11.6226
epoch 188: train 9.8146 | val 6,6: 10.6987 | 9,6: 9.1706 | 12,6: 8.1392 | 15,3: 11.5477
epoch 189: train 9.8098 | val 6,6: 10.7119 | 9,6: 9.1369 | 12,6: 8.1145 | 15,3: 11.4507
epoch 190: train 9.8076 | val 6,6: 10.6498 | 9,6: 9.1482 | 12,6: 8.1105 | 15,3: 11.4322
epoch 191: train 9.8036 | val 6,6: 10.8129 | 9,6: 9.2703 | 12,6: 8.0867 | 15,3: 11.6482
epoch 192: train 9.8040 | val 6,6: 10.7119 | 9,6: 9.1926 | 12,6: 8.1229 | 15,3: 11.7167
epoch 193: train 9.8043 | val 6,6: 10.6415 | 9,6: 9.1364 | 12,6: 8.0526 | 15,3: 11.4948
